id,county,flood_type,flood_type_sub,elevation,lat,long,report_no
KLAC-01-14,Jefferson,Levee , Interior,-1.2,29.893883,-90.144871,Jeffers-1
KLAC-01-15,Jefferson,Levee , Interior,1.2,29.876847,-90.134363,Jeffers-2
KLAC-01-16,Jefferson,Levee , Interior,2.4,29.76864,-90.082523,Jeffers-3
KLAC-01-17,Jefferson,Levee , Interior,-1.8,29.854061,-90.070304,Jeffers-4
KLAC-02-35,Jefferson,Coastal , Surge Only,5.8,29.265225,-89.957349,Jeffers-5
KLAC-02-36,Jefferson,Coastal , Surge Only,8.5,29.241738,-89.978814,Jeffers-6
KLAC-03-30,Jefferson,Levee , Interior,5.5,29.999022,-90.284746,Jeffers-7
KLAC-04-07,Jefferson,Levee , Interior,-4.3,30.042867,-90.274929,Jeffers-8
KLAC-04-08,Jefferson,Levee , Interior,-4.1,30.019869,-90.274156,Jeffers-9
KLAC-04-09,Jefferson,Levee , Interior,-4,30.023151,-90.265552,Jeffers-10
KLAC-04-10,Jefferson,Coastal , Wave Runup,9.4,30.040061,-90.23809,Jeffers-11
KLAC-04-11,Jefferson,Coastal , Wave Runup,11.6,30.032774,-90.219619,Jeffers-12
KLAC-04-12,Jefferson,Levee , Interior,-3.6,30.011045,-90.195617,Jeffers-13
KLAC-04-13,Jefferson,Levee , Interior,-3.9,29.9948,-90.19442,Jeffers-14
KLAC-04-14,Jefferson,Levee , Interior,-3.7,29.984246,-90.198763,Jeffers-15
KLAC-04-15,Jefferson,Levee , Interior,-3.8,29.99597,-90.21629,Jeffers-16
KLAC-04-33,Jefferson,Coastal , Wave Runup,8.5,30.049191,-90.27667,Jeffers-17
KLAC-04-34,Jefferson,Coastal , Wave Runup,9.4,30.04081,-90.243065,Jeffers-18
KLAC-04-35,Jefferson,Coastal , Wave Runup,6.8,30.027021,-90.198977,Jeffers-19
KLAC-05-10,Jefferson,Levee , Interior,0.4,29.884566,-90.099468,Jeffers-20
KLAC-05-11,Jefferson,Levee , Interior,0.9,29.875315,-90.1099,Jeffers-21
KLAC-05-12,Jefferson,Levee , Interior,0.4,29.854456,-90.11716,Jeffers-22
KLAC-05-14,Jefferson,Levee , Interior,-4.3,29.894341,-90.014498,Jeffers-23
KLAC-05-15,Jefferson,Levee , Interior,-3.7,29.906414,-90.02241,Jeffers-24
KLAC-05-16,Jefferson,Levee , Interior,-5.7,29.879582,-90.034295,Jeffers-25
